,ID,Year,Month,Data Type,Value1,Mflag1,Qflag1,Sflag1,Value2,Mflag2,Qflag2,Sflag2,Value3,Mflag3,Qflag3,Sflag3,Value4,Mflag4,Qflag4,Sflag4,Value5,Mflag5,Qflag5,Sflag5,Value6,Mflag6,Qflag6,Sflag6,Value7,Mflag7,Qflag7,Sflag7,Value8,Mflag8,Qflag8,Sflag8,Value9,Mflag9,Qflag9,Sflag9,Value10,Mflag10,Qflag10,Sflag10,Value11,Mflag11,Qflag11,Sflag11,Value12,Mflag12,Qflag12,Sflag12,Value13,Mflag13,Qflag13,Sflag13,Value14,Mflag14,Qflag14,Sflag14,Value15,Mflag15,Qflag15,Sflag15,Value16,Mflag16,Qflag16,Sflag16,Value17,Mflag17,Qflag17,Sflag17,Value18,Mflag18,Qflag18,Sflag18,Value19,Mflag19,Qflag19,Sflag19,Value20,Mflag20,Qflag20,Sflag20,Value21,Mflag21,Qflag21,Sflag21,Value22,Mflag22,Qflag22,Sflag22,Value23,Mflag23,Qflag23,Sflag23,Value24,Mflag24,Qflag24,Sflag24,Value25,Mflag25,Qflag25,Sflag25,Value26,Mflag26,Qflag26,Sflag26,Value27,Mflag27,Qflag27,Sflag27,Value28,Mflag28,Qflag28,Sflag28,Value29,Mflag29,Qflag29,Sflag29,Value30,Mflag30,Qflag30,Sflag30,Value31,Mflag31,Qflag31,Sflag31
469,USC00187705,1916,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,76, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6
530,USC00187705,1917,1,TMAX,39, , ,6,117, , ,6,78, , ,6,44, , ,6,78, , ,6,89, , ,6,133, , ,6,106, , ,6,128, , ,6,122, , ,6,111, , ,6,-39, , ,6,6, , ,6,33, , ,6,0, , ,6,-28, , ,6,33, , ,6,89, , ,6,56, , ,6,78, , ,6,22, , ,6,139, , ,6,22, , ,6,17, , ,6,50, , ,6,44, , ,6,-6, , ,6,111, , ,6,72, , ,6,100, , ,6,94, , ,6
531,USC00187705,1917,1,TMIN,-106, , ,6,-11, , ,6,-50, , ,6,-44, , ,6,28, , ,6,28, , ,6,-39, , ,6,-50, , ,6,-28, , ,6,-33, , ,6,-50, , ,6,-139, , ,6,-83, , ,6,-17, , ,6,-83, , ,6,-78, , ,6,-94, , ,6,-72, , ,6,-22, , ,6,-100, , ,6,-44, , ,6,-6, , ,6,-83, , ,6,-56, , ,6,-22, , ,6,-94, , ,6,-106, , ,6,-94, , ,6,-61, , ,6,-17, , ,6,-44, , ,6
532,USC00187705,1917,1,TOBS,33, , ,6,78, , ,6,44, , ,6,33, , ,6,78, , ,6,61, , ,6,100, , ,6,72, , ,6,100, , ,6,111, , ,6,-50, , ,6,-44, , ,6,-11, , ,6,0, , ,6,-67, , ,6,-33, , ,6,28, , ,6,56, , ,6,6, , ,6,22, , ,6,-6, , ,6,22, , ,6,-11, , ,6,17, , ,6,44, , ,6,-6, , ,6,-22, , ,6,72, , ,6,22, , ,6,94, , ,6,72, , ,6
533,USC00187705,1917,1,PRCP,0,P, ,6,0,P, ,6,203, , ,6,0,T, ,6,20, , ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,196, , ,6,0,T, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,81, , ,6,76, , ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,79, , ,6,99, , ,6,0,P, ,6,0,P, ,6
534,USC00187705,1917,1,SNOW,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0,T, ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,102, , ,6,0, , ,6,0, , ,6,0, , ,6
535,USC00187705,1917,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0,T, ,6,0,T, ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0,T, ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0,T, ,6,-9999, , , ,-9999, , , ,0, , ,6
597,USC00187705,1918,1,TMAX,-89, , ,6,-111, , ,6,-100, , ,6,-78, , ,6,-50, , ,6,-11, , ,6,0, , ,6,0, , ,6,-11, , ,6,-6, , ,6,-22, , ,6,94, , ,6,-28, , ,6,-28, , ,6,17, , ,6,11, , ,6,22, , ,6,11, , ,6,-17, , ,6,-67, , ,6,-33, , ,6,-50, , ,6,-39, , ,6,0, , ,6,72, , ,6,50, , ,6,6, , ,6,-61, , ,6,17, , ,6,-11, , ,6,0, , ,6
598,USC00187705,1918,1,TMIN,-228, , ,6,-139, , ,6,-189, , ,6,-244, , ,6,-128, , ,6,-156, , ,6,-28, , ,6,-44, , ,6,-61, , ,6,-61, , ,6,-94, , ,6,-39, , ,6,-150, , ,6,-139, , ,6,-39, , ,6,-100, , ,6,-67, , ,6,-61, , ,6,-117, , ,6,-117, , ,6,-167, , ,6,-117, , ,6,-150, , ,6,-144, , ,6,-44, , ,6,-89, , ,6,-78, , ,6,-94, , ,6,-78, , ,6,-128, , ,6,-72, , ,6
599,USC00187705,1918,1,TOBS,-111, , ,6,-117, , ,6,-128, , ,6,-83, , ,6,-94, , ,6,-28, , ,6,0, , ,6,-39, , ,6,-39, , ,6,-22, , ,6,-33, , ,6,-28, , ,6,-67, , ,6,-33, , ,6,-17, , ,6,-11, , ,6,0, , ,6,-17, , ,6,-78, , ,6,-83, , ,6,-61, , ,6,-100, , ,6,-83, , ,6,-33, , ,6,50, , ,6,6, , ,6,-72, , ,6,-61, , ,6,-11, , ,6,-61, , ,6,-33, , ,6
600,USC00187705,1918,1,PRCP,0,P, ,6,23, , ,6,8, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,36, , ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,432, , ,6,0,P, ,6,0,P, ,6,122, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,T, ,6,0,P, ,6,178, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,10, , ,6,165, , ,6,0,P, ,6,102, , ,6,10, , ,6
601,USC00187705,1918,1,SNOW,0, , ,6,38, , ,6,13, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0,T, ,6,0, , ,6,178, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,13, , ,6,152, , ,6,0, , ,6,140, , ,6,13, , ,6
602,USC00187705,1918,1,SNWD,-9999, , , ,51, , ,6,51, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,51, , ,6,203, , ,6,-9999, , , ,279, , ,6,279, , ,6
660,USC00187705,1919,1,TMAX,144, , ,6,167, , ,6,33, , ,6,-22, , ,6,-56, , ,6,-11, , ,6,39, , ,6,78, , ,6,56, , ,6,39, , ,6,72, , ,6,56, , ,6,61, , ,6,117, , ,6,94, , ,6,106, , ,6,100, , ,6,117, , ,6,106, , ,6,100, , ,6,161, , ,6,144, , ,6,50, , ,6,83, , ,6,128, , ,6,117, , ,6,128, , ,6,128, , ,6,117, , ,6,111, , ,6,117, , ,6
661,USC00187705,1919,1,TMIN,22, , ,6,33, , ,6,-22, , ,6,-117, , ,6,-144, , ,6,-106, , ,6,-117, , ,6,-39, , ,6,-72, , ,6,-94, , ,6,-78, , ,6,-94, , ,6,-111, , ,6,-67, , ,6,22, , ,6,-56, , ,6,-22, , ,6,44, , ,6,-6, , ,6,-56, , ,6,-39, , ,6,-22, , ,6,33, , ,6,33, , ,6,-6, , ,6,33, , ,6,-17, , ,6,-39, , ,6,-33, , ,6,-72, , ,6,-28, , ,6
662,USC00187705,1919,1,TOBS,144, , ,6,33, , ,6,-22, , ,6,-83, , ,6,-61, , ,6,-28, , ,6,28, , ,6,56, , ,6,11, , ,6,28, , ,6,56, , ,6,-22, , ,6,50, , ,6,94, , ,6,28, , ,6,72, , ,6,83, , ,6,100, , ,6,89, , ,6,89, , ,6,144, , ,6,50, , ,6,50, , ,6,83, , ,6,106, , ,6,117, , ,6,128, , ,6,117, , ,6,11, , ,6,111, , ,6,111, , ,6
663,USC00187705,1919,1,PRCP,203, , ,6,254, , ,6,203, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,T, ,6,0,P, ,6,0,T, ,6,38, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,76, , ,6,165, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6
664,USC00187705,1919,1,SNOW,0, , ,6,0, , ,6,51, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6
665,USC00187705,1919,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6
725,USC00187705,1920,1,TMAX,67, , ,6,44, , ,6,-56, , ,6,-72, , ,6,-44, , ,6,6, , ,6,28, , ,6,44, , ,6,44, , ,6,56, , ,6,61, , ,6,33, , ,6,78, , ,6,56, , ,6,0, , ,6,-11, , ,6,-11, , ,6,-33, , ,6,-17, , ,6,-17, , ,6,28, , ,6,0, , ,6,-11, , ,6,0, , ,6,0, , ,6,-50, , ,6,28, , ,6,61, , ,6,33, , ,6,144, , ,6,61, ,I,6
726,USC00187705,1920,1,TMIN,-44, , ,6,-106, , ,6,-150, , ,6,-133, , ,6,-139, , ,6,-156, , ,6,-22, , ,6,-22, , ,6,11, , ,6,-33, , ,6,-72, , ,6,-39, , ,6,-111, , ,6,-56, , ,6,-94, , ,6,-94, , ,6,-94, , ,6,-111, , ,6,-156, , ,6,-122, , ,6,-78, , ,6,-56, , ,6,-39, , ,6,-11, , ,6,-50, , ,6,-94, , ,6,-56, , ,6,0, , ,6,-78, , ,6,-67, , ,6,-78, , ,6
727,USC00187705,1920,1,TOBS,44, , ,6,-56, , ,6,-89, , ,6,-78, , ,6,-56, , ,6,-6, , ,6,28, , ,6,44, , ,6,33, , ,6,11, , ,6,22, , ,6,11, , ,6,56, , ,6,-50, , ,6,-11, , ,6,-94, , ,6,-33, , ,6,-44, , ,6,-17, , ,6,-78, , ,6,0, , ,6,-39, , ,6,-11, , ,6,0, , ,6,-50, , ,6,-56, , ,6,22, , ,6,33, , ,6,6, , ,6,89, ,I,6,-78, , ,6
728,USC00187705,1920,1,PRCP,0,T, ,6,0,P, ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,109, , ,6,30, , ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,25, , ,6,0,P, ,6,0,P, ,6,38, , ,6,0,P, ,6,91, , ,6,91, , ,6,107, , ,6,112, , ,6,0,T, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6,0,P, ,6
729,USC00187705,1920,1,SNOW,0, , ,6,0, , ,6,0,T, ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,25, , ,6,0, , ,6,0, , ,6,38, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6,0, , ,6
730,USC00187705,1920,1,SNWD,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6,25, , ,6,-9999, , , ,-9999, , , ,76, , ,6,-9999, , , ,-9999, , , ,25, , ,6,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,0, , ,6
817,USC00187705,1949,1,TMAX,56, , ,0,44, , ,0,94, , ,0,78, , ,0,78, , ,0,122, , ,0,139, , ,0,156, , ,0,133, , ,0,161, , ,0,144, , ,0,72, , ,0,89, , ,0,94, , ,0,78, , ,0,156, , ,0,156, , ,0,122, , ,0,161, , ,0,122, , ,0,-9999, , , ,128, , ,0,94, , ,0,133, , ,0,133, , ,0,100, , ,0,56, , ,0,211, , ,0,200, , ,0,28, , ,0,11, , ,0
818,USC00187705,1949,1,TMIN,6, , ,0,-22, , ,0,-44, , ,0,0, , ,0,28, , ,0,6, , ,0,-6, , ,0,44, , ,0,50, , ,0,50, , ,0,44, , ,0,-11, , ,0,-17, , ,0,0, , ,0,-28, , ,0,0, , ,0,94, , ,0,39, , ,0,39, , ,0,-22, , ,0,-33, , ,0,-33, , ,0,-33, , ,0,-33, , ,0,106, , ,0,11, , ,0,11, , ,0,28, , ,0,17, , ,0,-78, , ,0,-78, , ,0
819,USC00187705,1949,1,PRCP,0,T, ,0,0, , ,0,0, , ,0,0, , ,0,366, , ,0,173, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,0,T, ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,3, , ,0,-9999, , , ,0, , ,0,0, , ,0,3, , ,0,0,T, ,0,18, , ,0,0,T, ,0,64, , ,0,23, , ,0,196, , ,0,0, , ,0,0, , ,0,191, , ,0
820,USC00187705,1949,1,SNOW,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,97, , ,0
821,USC00187705,1949,1,SNWD,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0
896,USC00187705,1950,1,TMAX,83, , ,0,128, , ,0,144, , ,0,206, , ,0,200, , ,0,211, , ,0,211, , ,0,44, , ,0,100, , ,0,206, , ,0,194, , ,0,89, , ,0,67, , ,0,156, , ,0,128, , ,0,100, , ,0,56, , ,0,156, , ,0,122, , ,0,6, , ,0,50, , ,0,100, , ,0,156, , ,0,222, , ,0,239, , ,0,256, , ,0,250, , ,0,67, , ,0,139, , ,0,133, , ,0,44, , ,0
897,USC00187705,1950,1,TMIN,-6, , ,0,-9999, , , ,67, , ,0,128, , ,0,111, , ,0,117, , ,0,33, , ,0,-33, , ,0,-33, , ,0,72, , ,0,56, , ,0,-28, , ,0,-6, , ,0,61, , ,0,0, , ,0,44, , ,0,-50, , ,0,0, , ,0,-39, , ,0,-78, , ,0,-39, , ,0,6, , ,0,44, , ,0,44, , ,0,111, , ,0,122, , ,0,28, , ,0,-56, , ,0,11, , ,0,22, , ,0,-11, , ,0
898,USC00187705,1950,1,TOBS,78, , ,0,117, , ,0,133, , ,0,200, , ,0,172, , ,0,211, , ,0,39, , ,0,6, , ,0,94, , ,0,189, , ,0,89, , ,0,-6, , ,0,61, , ,0,122, , ,0,67, , ,0,50, , ,0,39, , ,0,117, , ,0,-28, , ,0,0, , ,0,44, , ,0,72, , ,0,156, , ,0,211, , ,0,228, , ,0,250, , ,0,56, , ,0,56, , ,0,133, , ,0,22, , ,0,39, , ,0
899,USC00187705,1950,1,PRCP,0, , ,0,0,T, ,0,48, , ,0,3, , ,0,0, , ,0,0, , ,0,28, , ,0,0, , ,0,0, , ,0,18, , ,0,0,T, ,0,30, , ,0,61, , ,0,0,T, ,0,0, , ,0,15, , ,0,0, , ,0,0,T, ,0,25, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,0, , ,0,0, , ,0,71, , ,0,0,T, ,0,8, , ,0,135, , ,0,89, , ,0
900,USC00187705,1950,1,SNOW,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,8, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0
901,USC00187705,1950,1,SNWD,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0
902,USC00187705,1950,1,WT04,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
903,USC00187705,1950,1,WT14,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,1, , ,0,-9999, , , ,-9999, , , 
989,USC00187705,1951,1,TMAX,56, , ,0,44, , ,0,144, , ,0,178, , ,0,100, , ,0,94, , ,0,33, , ,0,44, , ,0,17, , ,0,72, , ,0,78, , ,0,72, , ,0,39, , ,0,39, , ,0,100, , ,0,61, , ,0,139, , ,0,178, , ,0,217, , ,0,217, , ,0,194, , ,0,17, , ,0,56, , ,0,111, , ,0,89, , ,0,17, , ,0,56, , ,0,61, , ,0,72, , ,0,17, , ,0,-22, , ,0
990,USC00187705,1951,1,TMIN,-56, , ,0,-67, , ,0,6, , ,0,56, , ,0,-17, , ,0,-17, , ,0,-17, , ,0,-61, , ,0,-106, , ,0,-67, , ,0,17, , ,0,-61, , ,0,-50, , ,0,-22, , ,0,0, , ,0,0, , ,0,-44, , ,0,39, , ,0,44, , ,0,6, , ,0,17, , ,0,-78, , ,0,-56, , ,0,0, , ,0,0, , ,0,-56, , ,0,-78, , ,0,6, , ,0,6, , ,0,-50, , ,0,-78, , ,0
991,USC00187705,1951,1,TOBS,28, , ,0,39, , ,0,144, , ,0,100, , ,0,83, , ,0,6, , ,0,33, , ,0,-33, , ,0,6, , ,0,61, , ,0,67, , ,0,33, , ,0,22, , ,0,0, , ,0,61, , ,0,17, , ,0,122, , ,0,167, , ,0,189, , ,0,194, , ,0,17, , ,0,-11, , ,0,56, , ,0,83, , ,0,6, , ,0,-6, , ,0,50, , ,0,50, , ,0,17, , ,0,-50, , ,0,-56, ,I,0
992,USC00187705,1951,1,PRCP,0, , ,0,0, , ,0,0, , ,0,51, , ,0,0, , ,0,0, , ,0,76, , ,0,0, , ,0,0, , ,0,0, , ,0,3, , ,0,0, , ,0,0, , ,0,114, , ,0,36, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,104, , ,0,0,T, ,0,0, , ,0,0, , ,0,3, , ,0,56, , ,0,10, , ,0,152, , ,0
993,USC00187705,1951,1,SNOW,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,13, , ,0,51, , ,0
994,USC00187705,1951,1,SNWD,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0,T, ,0,51, , ,0
995,USC00187705,1951,1,WT01,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,1, , ,0
1079,USC00187705,1952,1,TMAX,183, , ,0,178, , ,0,67, , ,0,67, , ,0,33, , ,0,33, , ,0,28, , ,0,22, , ,0,78, , ,0,83, , ,0,83, , ,0,94, , ,0,100, , ,0,178, , ,0,228, , ,0,222, , ,0,117, , ,0,111, , ,0,106, , ,0,78, , ,0,78, , ,0,33, , ,0,50, , ,0,28, , ,0,22, , ,0,144, , ,0,167, , ,0,144, , ,0,11, , ,0,-39, , ,0,44, , ,0
1080,USC00187705,1952,1,TMIN,44, , ,0,44, , ,0,33, , ,0,-11, , ,0,-6, , ,0,-11, , ,0,-56, , ,0,-50, , ,0,-11, , ,0,-22, , ,0,-33, , ,0,-22, , ,0,-6, , ,0,50, , ,0,72, , ,0,61, , ,0,0, , ,0,56, , ,0,-22, , ,0,33, , ,0,-22, , ,0,-11, , ,0,6, , ,0,-44, , ,0,-50, , ,0,22, , ,0,106, , ,0,6, , ,0,-83, , ,0,-111, , ,0,-94, , ,0
1081,USC00187705,1952,1,TOBS,178, , ,0,67, , ,0,61, , ,0,33, , ,0,28, , ,0,0, , ,0,17, , ,0,0, , ,0,78, , ,0,22, , ,0,39, , ,0,67, , ,0,72, , ,0,178, , ,0,222, , ,0,111, , ,0,56, , ,0,100, , ,0,61, , ,0,78, , ,0,33, , ,0,33, , ,0,22, , ,0,11, , ,0,22, , ,0,139, , ,0,133, , ,0,6, , ,0,-44, , ,0,-44, , ,0,39, , ,0
1082,USC00187705,1952,1,PRCP,0,T, ,0,10, , ,0,66, , ,0,0, , ,0,213, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,201, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,5, , ,0,0, , ,0,15, , ,0,64, , ,0,0, , ,0,8, , ,0,0, , ,0,170, , ,0,15, , ,0,0, , ,0,0, , ,0,155, , ,0,36, , ,0,188, , ,0,0, , ,0,0, , ,0,0, , ,0
1083,USC00187705,1952,1,SNOW,0, , ,0,0, , ,0,0, , ,0,0, , ,0,25, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0
1084,USC00187705,1952,1,SNWD,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0
1085,USC00187705,1952,1,WT01,1, , ,0,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
1086,USC00187705,1952,1,WT04,-9999, , , ,-9999, , , ,-9999, , , ,1, , ,0,1, , ,0,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , ,-9999, , , 
